Sentence 1,Sentence 2,Label
Never have I ever been to a foreign country,Never have I ever been to a foreign country,1
Never have I ever met a celebrity,Never have I ever met a celebrity,1
Never have I ever watched a scary movie alone,Never have I ever watched a scary movie alone,1
Never have I ever had a tattoo,Never have I ever had a tattoo,1
Never have I ever tried painting,Never have I ever tried painting,1
Never have I ever tried fencing,Never have I ever tried fencing,1
Never have I ever had a tattoo,Never have I ever had a tattoo,1
Never have I ever attended a wedding,Never have I ever attended a wedding,1
Never have I ever pulled an all-nighter,Never have I ever pulled an all-nighter,1
Never have I ever lied to avoid an awkward situation,Never have I ever lied to avoid an awkward situation,1
Never have I ever been on a blind date,Never have I ever been on a blind date,1
Never have I ever had a tattoo,Never have I ever had a tattoo,1
Never have I ever told a secret I shouldn't have,Never have I ever told a secret I shouldn't have,1
Never have I ever driven a sports car,Never have I ever driven a sports car,1
Never have I ever had a pet,Never have I ever had a pet,1
Never have I ever met a celebrity,Never have I ever met a celebrity,1
Never have I ever sung karaoke,Never have I ever sung karaoke,1
Never have I ever been late to a job interview,Never have I ever been late to a job interview,1
Never have I ever lied to avoid an awkward situation,Never have I ever lied to avoid an awkward situation,1
Never have I ever run a marathon,Never have I ever run a marathon,1
Never have I ever broken a bone,Never have I ever broken a bone,1
Never have I ever been on a rollercoaster,Never have I ever been on a rollercoaster,1
Never have I ever attended a live sports event,Never have I ever attended a live sports event,1
Never have I ever danced in public,Never have I ever danced in public,1
Never have I ever fainted,Never have I ever fainted,1
Never have I ever fallen asleep during a movie,Never have I ever fallen asleep during a movie,1
Never have I ever pulled an all-nighter,Never have I ever pulled an all-nighter,1
Never have I ever attended a wedding,Never have I ever attended a wedding,1
Never have I ever been to a foreign country,Never have I ever been to a foreign country,1
Never have I ever attended a live sports event,Never have I ever attended a live sports event,1
Never have I ever climbed a mountain,Never have I ever climbed a mountain,1
Never have I ever gotten a speeding ticket,Never have I ever gotten a speeding ticket,1
Never have I ever stayed in a hostel,Never have I ever stayed in a hostel,1
Never have I ever tried scuba diving,Never have I ever tried scuba diving,1
Never have I ever been on a rollercoaster,Never have I ever been on a rollercoaster,1
Never have I ever tried snowboarding,Never have I ever tried snowboarding,1
Never have I ever been on a rollercoaster,Never have I ever been on a rollercoaster,1
Never have I ever been on a rollercoaster,Never have I ever been on a rollercoaster,1
Never have I ever tried snowboarding,Never have I ever tried snowboarding,1
Never have I ever tried painting,Never have I ever tried painting,1
Never have I ever had a pet,Never have I ever had a pet,1
Never have I ever broken a bone,Never have I ever broken a bone,1
Never have I ever stayed in a hostel,Never have I ever stayed in a hostel,1
Never have I ever attended a live sports event,Never have I ever attended a live sports event,1
Never have I ever fainted,Never have I ever fainted,1
Never have I ever attended a live sports event,Never have I ever attended a live sports event,1
Never have I ever gotten a speeding ticket,Never have I ever gotten a speeding ticket,1
Never have I ever traveled abroad,Never have I ever traveled abroad,1
Never have I ever watched a scary movie alone,Never have I ever watched a scary movie alone,1
Never have I ever given a public speech,Never have I ever given a public speech,1
Never have I ever attended a wedding,Never have I ever attended a wedding,1
Never have I ever learned a new language,Never have I ever learned a new language,1
Never have I ever fallen asleep during a movie,Never have I ever fallen asleep during a movie,1
Never have I ever been to a concert,Never have I ever been to a concert,1
Never have I ever lied to avoid an awkward situation,Never have I ever lied to avoid an awkward situation,1
Never have I ever been on a road trip,Never have I ever been on a road trip,1
Never have I ever met a celebrity,Never have I ever met a celebrity,1
Never have I ever stayed in a luxury hotel,Never have I ever stayed in a luxury hotel,1
Never have I ever cooked a meal for someone,Never have I ever cooked a meal for someone,1
Never have I ever been late to a job interview,Never have I ever been late to a job interview,1
Never have I ever eaten sushi,Never have I ever eaten sushi,1
Never have I ever climbed a mountain,Never have I ever climbed a mountain,1
Never have I ever learned a new language,Never have I ever learned a new language,1
Never have I ever stayed in a luxury hotel,Never have I ever stayed in a luxury hotel,1
Never have I ever been to a concert,Never have I ever been to a concert,1
Never have I ever traveled alone,Never have I ever traveled alone,1
Never have I ever run a marathon,Never have I ever run a marathon,1
Never have I ever baked a cake,Never have I ever baked a cake,1
Never have I ever gone skydiving,Never have I ever gone skydiving,1
Never have I ever met a celebrity,Never have I ever met a celebrity,1
Never have I ever tried scuba diving,Never have I ever tried scuba diving,1
Never have I ever given a public speech,Never have I ever given a public speech,1
Never have I ever stayed up all night,Never have I ever stayed up all night,1
Never have I ever learned how to swim,Never have I ever learned how to swim,1
Never have I ever eaten spicy food,Never have I ever eaten spicy food,1
Never have I ever been to a foreign country,Never have I ever been to a foreign country,1
Never have I ever driven a sports car,Never have I ever driven a sports car,1
Never have I ever traveled abroad,Never have I ever traveled abroad,1
Never have I ever given a public speech,Never have I ever given a public speech,1
Never have I ever attended a wedding,Never have I ever attended a wedding,1
Never have I ever gone skydiving,Never have I ever gone skydiving,1
Never have I ever watched a scary movie alone,Never have I ever watched a scary movie alone,1
Never have I ever cooked a meal for someone,Never have I ever cooked a meal for someone,1
Never have I ever run a marathon,Never have I ever run a marathon,1
Never have I ever tried fencing,Never have I ever tried fencing,1
Never have I ever climbed a mountain,Never have I ever climbed a mountain,1
Never have I ever cooked a meal for someone,Never have I ever cooked a meal for someone,1
Never have I ever been in a helicopter,Never have I ever been in a helicopter,1
Never have I ever stayed in a luxury hotel,Never have I ever stayed in a luxury hotel,1
Never have I ever eaten spicy food,Never have I ever eaten spicy food,1
Never have I ever had a pet,Never have I ever had a pet,1
Never have I ever danced in public,Never have I ever danced in public,1
Never have I ever given a public speech,Never have I ever given a public speech,1
Never have I ever tried fencing,Never have I ever tried fencing,1
Never have I ever lost my wallet,Never have I ever lost my wallet,1
Never have I ever been to a foreign country,Never have I ever been to a foreign country,1
Never have I ever eaten exotic food,Never have I ever eaten exotic food,1
Never have I ever watched a scary movie alone,Never have I ever watched a scary movie alone,1
Never have I ever played video games all day,Never have I ever played video games all day,1
Never have I ever eaten spicy food,Never have I ever eaten spicy food,1
Never have I ever been on a road trip,Never have I ever been on a road trip,1
Never have I ever won a competition,Never have I ever won a competition,1
Never have I ever tried painting,Never have I ever tried painting,1
Never have I ever eaten spicy food,Never have I ever eaten spicy food,1
Never have I ever played video games all day,Never have I ever played video games all day,1
Never have I ever had a pet,Never have I ever had a pet,1
Never have I ever met a celebrity,Never have I ever met a celebrity,1
Never have I ever been stuck in an elevator,Never have I ever been stuck in an elevator,1
Never have I ever tried snowboarding,Never have I ever tried snowboarding,1
Never have I ever tried fencing,Never have I ever tried fencing,1
Never have I ever attended a live sports event,Never have I ever attended a live sports event,1
Never have I ever traveled alone,Never have I ever traveled alone,1
Never have I ever cooked a meal for someone,Never have I ever cooked a meal for someone,1
Never have I ever eaten exotic food,Never have I ever eaten exotic food,1
Never have I ever been to a foreign country,Never have I ever been to a foreign country,1
Never have I ever cooked a meal for someone,Never have I ever cooked a meal for someone,1
Never have I ever played a musical instrument,Never have I ever played a musical instrument,1
Never have I ever eaten sushi,Never have I ever eaten sushi,1
Never have I ever pulled an all-nighter,Never have I ever pulled an all-nighter,1
Never have I ever been in a helicopter,Never have I ever been in a helicopter,1
Never have I ever eaten sushi,Never have I ever eaten sushi,1
Never have I ever gotten a speeding ticket,Never have I ever gotten a speeding ticket,1
Never have I ever gotten a speeding ticket,Never have I ever gotten a speeding ticket,1
Never have I ever attended a live sports event,Never have I ever attended a live sports event,1
Never have I ever lied to avoid an awkward situation,Never have I ever lied to avoid an awkward situation,1
Never have I ever eaten exotic food,Never have I ever eaten exotic food,1
Never have I ever been on a rollercoaster,Never have I ever been on a rollercoaster,1
Never have I ever tried snowboarding,Never have I ever tried snowboarding,1
Never have I ever tried snowboarding,Never have I ever tried snowboarding,1
Never have I ever learned how to swim,Never have I ever learned how to swim,1
Never have I ever learned how to swim,Never have I ever learned how to swim,1
Never have I ever gotten a speeding ticket,Never have I ever gotten a speeding ticket,1
Never have I ever danced in public,Never have I ever danced in public,1
Never have I ever been on a road trip,Never have I ever been on a road trip,1
Never have I ever baked a cake,Never have I ever baked a cake,1
